product_price,product_rating,mrp,company,country,discount_pct,review_count,availability_status,language,writer,format,comic title
899,2.3,1758.0,Marvel,United States,48.0,3,low_stock,English,Hickman Jonathan,paperback,X-Men: Hellfire Gala
1178,0.0,1316.0,Marvel,United States,10.0,0,low_stock,English,Dbg,paperback,World of Reading Avengers Boxed Set
617,0.0,822.0,Marvel,United States,24.0,0,low_stock,English,Berrios Frank,hardcover,Trapped by the Green Goblin! (Marvel: Spider-Man)
522,3.9,699.0,Marvel,United States,25.0,8,low_stock,English,Dk,hardcover,Marvel Avengers The Ultimate Character Guide New Editio...
899,5.0,1949.0,Marvel,United States,53.0,3,low_stock,English,Aaron Jason,paperback,Avengers By Jason Aaron Vol. 9
1999,4.7,4171.0,Marvel,United States,52.0,138,low_stock,English,Harras Bob,paperback,Avengers Epic Collection: Taking A.I.M.
10550,0.0,16416.0,Marvel,United States,35.0,0,low_stock,English,Unknown,hardcover,Star Wars Legends: The Empire Omnibus Vol. 2
299,4.7,850.0,Marvel,United States,38.0,138,low_stock,English,March Julia,hardcover,Marvel Black Panther Wakanda Forever!
383,0.0,550.0,Marvel,United States,30.0,0,low_stock,English,Knox Kelly,hardcover,Marvel Studios Be More Spider-Man
2084,0.0,3499.0,Marvel,United States,40.0,0,low_stock,English,Conway Gerry,paperback,Daredevil Epic Collection: Going Out West
1818,0.0,5499.0,Marvel,United States,66.0,0,low_stock,English,Roussos Eleni,hardcover,Marvel's Captain Marvel: The Art of the Movie
3344,0.0,3800.0,Marvel,United States,12.0,0,low_stock,English,Unknown,hardcover,The Marvel Art Of Marko Djurdjevic
2356,0.0,3275.0,Marvel,United States,28.0,0,low_stock,English,Hudlin Reginald,paperback,Black Panther: The Saga of Shuri & T'Challa
1848,0.0,2399.0,Marvel,United States,22.0,0,low_stock,English,Waid Mark,paperback,Black Widow by Waid & Samnee: The Complete Collection
1828,0.0,3499.0,Marvel,United States,47.0,0,low_stock,English,Haynes Fred,paperback,Iron Man Epic Collection: In The Hands of Evil
2038,0.0,2850.0,Marvel,United States,28.0,0,low_stock,English,Thompson Kelly,paperback,Captain Marvel By Kelly Thompson Vol. 1
7407,0.0,9999.0,Marvel,United States,25.0,0,low_stock,English,Moench Doug,hardcover,Shang-Chi: Master of Kung-Fu Omnibus Vol. 3
1818,0.0,2995.0,Marvel,United States,39.0,0,low_stock,English,Zdarsky Chip,paperback,Spider-Man: Life Story - Extra!
1300,0.0,1625.0,Marvel,United States,20.0,0,low_stock,English,Thompson Kelly,paperback,Jessica Jones: Purple Daughter
7559,0.0,9999.0,Marvel,United States,24.0,0,low_stock,English,Claremont Chris,hardcover,Marvel Universe By Chris Claremont
2226,0.0,3099.0,Marvel,United States,28.0,0,low_stock,English,Stern Roger,paperback,Avengers Epic Collection: Judgment Day
2631,0.0,3699.0,Marvel,United States,28.0,0,low_stock,English,Moench Doug,paperback,Moon Knight Epic Collection: Shadows Of The Moon
7453,0.0,9999.0,Marvel,United States,25.0,0,low_stock,English,Tomlinson John,hardcover,Knights Of Pendragon Omnibus
1279,0.0,2364.0,Marvel,United States,45.0,0,low_stock,English,Pak Greg,paperback,Aero & Sword Master: Origins And Odysseys
1269,0.0,1475.0,Marvel,United States,13.0,0,promotion,English,Ahmed Saladin,paperback,Exiles Vol. 2: The Trial of The Exiles
1773,0.0,2850.0,Marvel,United States,37.0,0,low_stock,English,Coates Ta Nehisi,hardcover,Black Panther Vol. 2: Avengers of the New World
1300,0.0,1625.0,Marvel,United States,20.0,0,low_stock,English,Various Zeb,paperback,Trials Of X Vol. 10
1164,0.0,1299.0,Marvel,United States,10.0,0,low_stock,English,Whitley Jeremy,paperback,The Unstoppable Wasp: Unlimited Vol. 2
2283,0.0,2850.0,Marvel,United States,19.0,0,low_stock,English,Liss David,paperback,Black Panther: The Man Without Fear - The Complete Coll...
7453,0.0,9999.0,Marvel,United States,25.0,0,low_stock,English,Schultz Mark,hardcover,Aliens: The Original Years Omnibus Vol. 3
2890,0.0,5899.0,Marvel,United States,51.0,0,promotion,English,Gillen Kieron,hardcover,Young Avengers by Kieron Gillen & Jamie McKelvie Omnibu...
2550,0.0,3699.0,Marvel,United States,31.0,0,low_stock,English,Nicieza Fabian,paperback,X-Men Epic Collection: Legacies
2576,0.0,3699.0,Marvel,United States,30.0,0,low_stock,English,Percy Benjamin,hardcover,X-Force by Benjamin Percy Vol. 2
1116,0.0,3975.0,Marvel,United States,71.0,0,low_stock,English,Hartley Ned,hardcover,Marvel Museum
6631,0.0,11999.0,Marvel,United States,44.0,0,low_stock,English,Aaron Jason,hardcover,Wolverine & the X-Men by Jason Aaron Omnibus
1279,0.0,1475.0,Marvel,United States,13.0,0,low_stock,English,Duggan Gerry,paperback,X-Men by Gerry Duggan Vol. 1
1277,0.0,1475.0,Marvel,United States,13.0,0,low_stock,English,Slott Dan,paperback,Fantastic Four By Dan Slott Vol. 5: Point Of Origin
8816,0.0,10500.0,Marvel,United States,16.0,0,low_stock,English,Diggle Andy,hardcover,DAREDEVIL: SHADOWLAND OMNIBUS CASSADAY COVER [NEW PRINT...
2363,0.0,3275.0,Marvel,United States,27.0,0,low_stock,English,Lee Stan,paperback,Sgt. Fury Epic Collection: Berlin Breakout
1152,0.0,1299.0,Marvel,United States,11.0,0,low_stock,English,Marvel Comics,paperback,Weirdworld: The Dragonmaster of Klarn
3430,0.0,3937.0,Marvel,United States,12.0,0,low_stock,English,Busiek Kurt,paperback,Thunderbolts Epic Collection: Wanted Dead or Alive
1244,0.0,1499.0,Marvel,United States,17.0,0,low_stock,English,Mackay Jed,paperback,Phases of The Moon Knight
1544,0.0,1899.0,Marvel,United States,18.0,0,low_stock,English,Coates Ta Nehisi,hardcover,Captain America by Ta-Nehisi Coates Vol. 1
2603,0.0,3499.0,Marvel,United States,25.0,0,low_stock,English,Claremont Chris,paperback,"X-men Epic Collection: I, Magneto"
2981,0.0,4887.0,Marvel,United States,39.0,0,low_stock,English,Chichester D.G.,paperback,Daredevil Epic Collection: Into The Fire
2880,0.0,4099.0,Marvel,United States,29.0,0,low_stock,English,Claremont Chris,paperback,New Mutants Epic Collection: Asgardian Wars
1154,0.0,1299.0,Marvel,United States,11.0,0,low_stock,English,Gillen Kieron,paperback,Immortal X-Men by Kieron Gillen Vol. 3
2295,0.0,3100.0,Marvel,United States,25.0,0,low_stock,English,Wolfman Marv,paperback,Tomb Of Dracula: The Complete Collection Vol. 5
1164,0.0,1299.0,Marvel,United States,10.0,0,in_stock,English,Gage Christos,paperback,Mech Strike: Monster Hunters
473,0.0,584.0,Marvel,United States,19.0,0,in_stock,English,Disney Book Group,hardcover,The Incredible Hulk
221,0.0,259.0,Marvel,United States,14.0,0,in_stock,English,Behling Steve,paperback,The Amazing Spider-Man vs. Green Goblin
1613,0.0,2784.0,Marvel,United States,42.0,0,in_stock,English,Brubaker Ed,paperback,Uncanny X-Men: The Rise and Fall of the Shi'ar Empire
3190,0.0,4099.0,Marvel,United States,22.0,0,in_stock,English,Starlin Jim,hardcover,Warlock By Jim Starlin Gallery Edition
950,0.0,1299.0,Marvel,United States,26.0,0,in_stock,English,Thompson Kelly,paperback,Black Widow by Kelly Thompson Vol. 1: The Ties That Bin...
514,0.0,559.0,Marvel,United States,8.0,0,in_stock,English,Angleberger Tom,paperback,Rocket and Groot: Stranded on Planet Strip Mall!
1152,0.0,1299.0,Marvel,United States,11.0,0,promotion,English,Wong Alyssa,paperback,Iron Fist: The Shattered Sword
2901,0.0,3799.0,Marvel,United States,23.0,0,in_stock,English,Tieri Frank,paperback,Wolverine Epic Collection: Law of The Jungle
191,0.0,259.0,Marvel,United States,26.0,0,in_stock,English,Disney Book Group,paperback,Captain America the First Avenger: The Hydra Files
3208,0.0,4250.0,Marvel,United States,24.0,0,in_stock,English,Liefeld Rob,hardcover,Deadpool: Bad/Badder Blood
1295,0.0,1499.0,Marvel,United States,13.0,0,in_stock,English,Pirzada Sabir,paperback,Cult of Carnage: Misery
191,0.0,259.0,Marvel,United States,26.0,0,in_stock,English,Rudnick Elizabeth,paperback,Thor's Revenge
191,0.0,259.0,Marvel,United States,26.0,0,in_stock,English,Rudnick Elizabeth,paperback,From Asgard to Earth
5773,0.0,12572.0,Marvel,United States,54.0,0,in_stock,English,Alixe Pascal,hardcover,Captain America by Rick Remender Omnibus
258,0.0,259.0,Marvel,United States,4.0,0,in_stock,English,Siglain Michael,paperback,Ultimate Spider-Man Great Power
3390,0.0,4799.0,Marvel,United States,29.0,0,in_stock,English,Harrold Jess,hardcover,Marvel Studios' The Marvels: The Art of The Movie
1569,0.0,2613.0,Marvel,United States,39.0,0,in_stock,English,Blas Terry,paperback,Marvel's Voices: Community
448,0.0,999.0,Marvel,United States,55.0,0,in_stock,English,Gerry Duggan Juan Frigeri Bryan Vlenza,paperback,The invincible Iron-Man first issue Comic with fully gl...
630,0.0,1190.0,Marvel,United States,47.0,0,in_stock,English,Point Black Marie Jevins,paperback,X-Man Unlimited 64 Pages | Glossy Look Pages | Point Bl...
2882,0.0,4099.0,Marvel,United States,29.0,0,in_stock,English,Unknown,hardcover,The Marvel Art Of Star Wars
439,0.0,454.0,Marvel,United States,3.0,0,in_stock,English,Rudnick Elizabeth,paperback,Thor Movie Storybook
4203,0.0,4300.0,Marvel,United States,2.0,0,in_stock,English,Wolfman Marv,paperback,Fantastic Four Epic Collection: Four No More
5845,0.0,6450.0,Marvel,United States,9.0,0,in_stock,English,Lee Stan,hardcover,Marvel Masterworks: The Fantastic Four Vol. 3 (Remaster...
753,0.0,908.0,Marvel,United States,17.0,0,in_stock,English,Scott Melanie,paperback,Marvel Can The Hulk Lift a House
2007,0.0,2120.0,Marvel,United States,5.0,0,in_stock,English,Mackay Jed,paperback,Moon Knight Vol. 5: The Last Days of Moon Knight
1152,0.0,1299.0,Marvel,United States,11.0,0,in_stock,English,Seeley Tim,paperback,Age Of X-Man: Apocalypse & The X-Tracts
